region,comuna,region_nombre,comuna_nombre,attribute_type,attribute_value,attribute_units,attribute_category
1,1101,Tarapacá,Iquique,disability_prevalence,8.59,percent,very low
1,1101,Tarapacá,Iquique,electricity_access_rate,99.75,percent,high
1,1101,Tarapacá,Iquique,employment_agriculture_forestry,1.19,percent,very low
1,1101,Tarapacá,Iquique,employment_construction,5.54,percent,very low
1,1101,Tarapacá,Iquique,employment_electricity_gas,0.6,percent,very low
1,1101,Tarapacá,Iquique,employment_in_transport_and_logistics,7.72,percent,very high
1,1101,Tarapacá,Iquique,employment_manufacturing,4.46,percent,very low
1,1101,Tarapacá,Iquique,employment_mining,9.54,percent,very high
1,1101,Tarapacá,Iquique,employment_water_waste,0.63,percent,very low
1,1101,Tarapacá,Iquique,fixed_internet_household_share,76.84,percent,very high
1,1101,Tarapacá,Iquique,home_ownership,42.18,percent,very low
1,1101,Tarapacá,Iquique,indigenous_identification_rate,16.81,percent,high
1,1101,Tarapacá,Iquique,literacy_rate,97.03,percent,very high
1,1101,Tarapacá,Iquique,mean_years_schooling,10.89,years,very high
1,1101,Tarapacá,Iquique,population,196709.0,persons,very high
1,1101,Tarapacá,Iquique,renter_share,44.16,percent,very high
1,1107,Tarapacá,Alto Hospicio,disability_prevalence,10.39,percent,low
1,1107,Tarapacá,Alto Hospicio,electricity_access_rate,98.94,percent,low
1,1107,Tarapacá,Alto Hospicio,employment_agriculture_forestry,0.85,percent,very low
1,1107,Tarapacá,Alto Hospicio,employment_construction,10.28,percent,high
1,1107,Tarapacá,Alto Hospicio,employment_electricity_gas,0.9,percent,medium
1,1107,Tarapacá,Alto Hospicio,employment_in_transport_and_logistics,9.66,percent,very high
1,1107,Tarapacá,Alto Hospicio,employment_manufacturing,5.87,percent,low
1,1107,Tarapacá,Alto Hospicio,employment_mining,10.47,percent,very high
1,1107,Tarapacá,Alto Hospicio,employment_water_waste,1.22,percent,very high
1,1107,Tarapacá,Alto Hospicio,fixed_internet_household_share,60.45,percent,high
1,1107,Tarapacá,Alto Hospicio,home_ownership,55.81,percent,very low
1,1107,Tarapacá,Alto Hospicio,indigenous_identification_rate,29.38,percent,very high
1,1107,Tarapacá,Alto Hospicio,literacy_rate,95.33,percent,high
1,1107,Tarapacá,Alto Hospicio,mean_years_schooling,9.08,years,low
1,1107,Tarapacá,Alto Hospicio,population,139445.0,persons,very high
1,1107,Tarapacá,Alto Hospicio,renter_share,22.97,percent,high
1,1401,Tarapacá,Pozo Almonte,disability_prevalence,10.71,percent,low
1,1401,Tarapacá,Pozo Almonte,electricity_access_rate,98.15,percent,very low
1,1401,Tarapacá,Pozo Almonte,employment_agriculture_forestry,5.73,percent,low
1,1401,Tarapacá,Pozo Almonte,employment_construction,9.64,percent,high
1,1401,Tarapacá,Pozo Almonte,employment_electricity_gas,0.65,percent,very low
1,1401,Tarapacá,Pozo Almonte,employment_in_transport_and_logistics,6.41,percent,high
1,1401,Tarapacá,Pozo Almonte,employment_manufacturing,4.5,percent,very low
1,1401,Tarapacá,Pozo Almonte,employment_mining,19.15,percent,very high
1,1401,Tarapacá,Pozo Almonte,employment_water_waste,1.13,percent,high
1,1401,Tarapacá,Pozo Almonte,fixed_internet_household_share,38.61,percent,medium
1,1401,Tarapacá,Pozo Almonte,home_ownership,51.51,percent,very low
1,1401,Tarapacá,Pozo Almonte,indigenous_identification_rate,47.67,percent,very high
1,1401,Tarapacá,Pozo Almonte,literacy_rate,95.3,percent,high
1,1401,Tarapacá,Pozo Almonte,mean_years_schooling,9.06,years,low
1,1401,Tarapacá,Pozo Almonte,population,16416.0,persons,medium
1,1401,Tarapacá,Pozo Almonte,renter_share,22.91,percent,high
1,1402,Tarapacá,Camiña,disability_prevalence,11.76,percent,low
1,1402,Tarapacá,Camiña,electricity_access_rate,97.29,percent,very low
1,1402,Tarapacá,Camiña,employment_agriculture_forestry,38.72,percent,very high
1,1402,Tarapacá,Camiña,employment_construction,8.51,percent,medium
1,1402,Tarapacá,Camiña,employment_electricity_gas,0.64,percent,very low
1,1402,Tarapacá,Camiña,employment_in_transport_and_logistics,3.19,percent,very low
1,1402,Tarapacá,Camiña,employment_manufacturing,2.34,percent,very low
1,1402,Tarapacá,Camiña,employment_mining,2.13,percent,high
1,1402,Tarapacá,Camiña,employment_water_waste,0.43,percent,very low
1,1402,Tarapacá,Camiña,fixed_internet_household_share,5.11,percent,very low
1,1402,Tarapacá,Camiña,home_ownership,65.85,percent,low
1,1402,Tarapacá,Camiña,indigenous_identification_rate,87.32,percent,very high
1,1402,Tarapacá,Camiña,literacy_rate,92.51,percent,very low
1,1402,Tarapacá,Camiña,mean_years_schooling,7.45,years,very low
1,1402,Tarapacá,Camiña,population,1335.0,persons,very low
1,1402,Tarapacá,Camiña,renter_share,12.27,percent,low
1,1403,Tarapacá,Colchane,disability_prevalence,13.85,percent,high
1,1403,Tarapacá,Colchane,electricity_access_rate,83.4,percent,very low
1,1403,Tarapacá,Colchane,employment_agriculture_forestry,23.59,percent,high
1,1403,Tarapacá,Colchane,employment_construction,15.38,percent,very high
1,1403,Tarapacá,Colchane,employment_electricity_gas,0.0,percent,very low
1,1403,Tarapacá,Colchane,employment_in_transport_and_logistics,7.18,percent,high
1,1403,Tarapacá,Colchane,employment_manufacturing,2.05,percent,very low
1,1403,Tarapacá,Colchane,employment_mining,1.03,percent,low
1,1403,Tarapacá,Colchane,employment_water_waste,1.54,percent,very high
1,1403,Tarapacá,Colchane,fixed_internet_household_share,2.86,percent,very low
1,1403,Tarapacá,Colchane,home_ownership,51.82,percent,very low
1,1403,Tarapacá,Colchane,indigenous_identification_rate,90.63,percent,very high
1,1403,Tarapacá,Colchane,literacy_rate,85.97,percent,very low
1,1403,Tarapacá,Colchane,mean_years_schooling,6.17,years,very low
1,1403,Tarapacá,Colchane,population,684.0,persons,very low
1,1403,Tarapacá,Colchane,renter_share,17.81,percent,high
1,1404,Tarapacá,Huara,disability_prevalence,13.39,percent,medium
1,1404,Tarapacá,Huara,electricity_access_rate,94.75,percent,very low
1,1404,Tarapacá,Huara,employment_agriculture_forestry,34.94,percent,very high
1,1404,Tarapacá,Huara,employment_construction,6.38,percent,very low
1,1404,Tarapacá,Huara,employment_electricity_gas,0.33,percent,very low
1,1404,Tarapacá,Huara,employment_in_transport_and_logistics,3.85,percent,very low
1,1404,Tarapacá,Huara,employment_manufacturing,2.7,percent,very low
1,1404,Tarapacá,Huara,employment_mining,9.25,percent,very high
1,1404,Tarapacá,Huara,employment_water_waste,0.82,percent,medium
1,1404,Tarapacá,Huara,fixed_internet_household_share,9.54,percent,very low
1,1404,Tarapacá,Huara,home_ownership,55.94,percent,very low
1,1404,Tarapacá,Huara,indigenous_identification_rate,66.6,percent,very high
1,1404,Tarapacá,Huara,literacy_rate,93.47,percent,low
1,1404,Tarapacá,Huara,mean_years_schooling,8.1,years,very low
1,1404,Tarapacá,Huara,population,2850.0,persons,very low
1,1404,Tarapacá,Huara,renter_share,17.97,percent,high
1,1405,Tarapacá,Pica,disability_prevalence,10.27,percent,low
1,1405,Tarapacá,Pica,electricity_access_rate,98.81,percent,low
